range_scale,vol_window,tail_df,coverage_95,average_width_95,mean_winkler_95,elapsed_s
1.0,80,5,0.9466666666666667,1055.5974431801778,1544.3187809044628,0.12
1.0,80,4,0.9466666666666667,1041.5340983864,1545.2335589655831,0.12
1.03,80,5,0.9533333333333334,1087.2653664755828,1545.951185555273,0.13
1.03,80,4,0.95,1072.7801213379926,1546.84693444683,0.12
1.05,80,5,0.9533333333333334,1108.3773153391865,1548.444813753756,0.13
1.05,80,4,0.9533333333333334,1093.6108033057199,1549.4084712529589,0.13
0.95,80,4,0.9366666666666666,989.45739346708,1551.578514640853,0.12
0.95,80,5,0.9333333333333333,1002.8175710211689,1553.529465523029,0.12
1.08,80,5,0.9566666666666667,1140.0452386345914,1554.1877470162665,0.12
1.08,80,4,0.9566666666666667,1124.8568262573122,1555.3075420109947,0.12
1.1,80,5,0.96,1161.1571874981964,1558.3714938427713,0.12
1.1,80,4,0.9633333333333334,1145.6875082250406,1560.2007817616484,0.12
1.0,80,7,0.9433333333333334,1061.235632335604,1563.158081728571,0.12
1.03,80,7,0.95,1093.0727013056717,1564.8826585992363,0.12
1.05,80,7,0.9533333333333334,1114.2974139523847,1567.2390311534941,0.13
0.95,80,7,0.9366666666666666,1008.1738507188236,1570.0601169465206,0.12
1.08,80,7,0.9533333333333334,1146.1344829224524,1571.5164510912118,0.12
1.1,80,7,0.96,1167.359195569165,1575.4268074793174,0.14
1.08,50,4,0.9466666666666667,1098.507594379613,1598.848842478129,0.12
1.05,50,4,0.9333333333333333,1067.9934945357354,1600.7286444286594,0.13
1.1,50,4,0.9466666666666667,1118.8503276088654,1601.2902901783402,0.12
1.05,50,5,0.94,1082.556735336399,1601.5735127593884,0.13
1.03,50,5,0.9366666666666666,1061.9366070442768,1602.1440372265695,0.12
1.03,50,4,0.93,1047.6507613064828,1603.3615130165467,0.13
1.08,50,5,0.9466666666666667,1113.486927774581,1603.5572142115557,0.12
1.0,50,5,0.93,1031.0064146060938,1605.6601527753282,0.12
1.1,50,5,0.9466666666666667,1134.107056066703,1606.0858539809092,0.14
1.0,50,4,0.9266666666666666,1017.1366614626049,1608.1696446612466,0.12
1.03,50,7,0.94,1067.8513515574796,1617.1768537297646,0.12
1.05,50,7,0.94,1088.5863292576244,1617.2063848701464,0.13
1.08,50,7,0.9433333333333334,1119.6887958078426,1619.1693417221747,0.12
1.1,50,7,0.9433333333333334,1140.4237735079882,1620.6832431120943,0.13
1.0,50,7,0.9266666666666666,1036.7488850072614,1620.6867177974843,0.12
0.95,50,5,0.91,979.4560938757887,1624.3009840978489,0.12
0.95,50,4,0.9066666666666666,966.2798283894745,1626.837887411241,0.12
1.1,30,5,0.93,1110.021779567155,1631.458689888767,0.13
1.1,30,4,0.9266666666666666,1094.907010012512,1632.1571448417594,0.12
1.08,30,5,0.9266666666666666,1089.8395653932064,1633.7018744657903,0.13
1.08,30,4,0.92,1074.9996098304664,1635.9508554877805,0.13
0.95,50,7,0.91,984.9114407568984,1636.329671189407,0.12
1.05,30,5,0.9233333333333333,1059.5662441322836,1639.0358669799966,0.12
1.03,30,5,0.92,1039.3840299583358,1644.463364063249,0.12
1.05,30,4,0.92,1045.1385095573978,1644.4795539464521,0.12
1.1,30,7,0.9266666666666666,1116.2722272163126,1644.5601699822935,0.13
1.08,30,7,0.9266666666666666,1095.976368539651,1647.4042396189789,0.12
1.03,30,4,0.92,1025.2311093753526,1650.1653529189016,0.13
1.05,30,7,0.9166666666666666,1065.532580524661,1654.7784872163486,0.12
1.0,30,5,0.91,1009.1107086974132,1656.1929667891325,0.12
1.0,30,4,0.9166666666666666,995.3700091022837,1658.842289151633,0.15
1.03,30,7,0.9166666666666666,1045.236721848001,1661.5949477773113,0.12
1.0,30,7,0.91,1014.7929338330105,1673.3901094433709,0.12
0.95,30,5,0.9033333333333333,958.655173262543,1685.0096084904435,0.12
0.95,30,4,0.9,945.6015086471697,1685.0896976860738,0.13
0.95,30,7,0.9033333333333333,964.0532871413598,1701.3613902313234,0.12
